report_month,project_code,project_name,agency,state,approval_date,start_date,original_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,previous_progress,previous_expenditure,progress_change,expenditure_change,cost_utilization_pct,expenditure_progress_gap,project_age_days,days_to_original_completion,days_overdue,project_observation_number
2025-05-01,1,CIVIL AVIATION,38,"26,718.18 (27,878.25) {30,473.90}",,,,,,,,,,,,,,,,,0.0,1
2025-05-01,1,ANDAMAN AND NICOBAR ISLANDS,10,"2,956.02 (3,029.18) {3,010.04}",,,,,,,,,,,,,,,,,0.0,2
2026-05-01,1,Roads & Highways,1149,"1,067,985",1994-01-01,377-01-01,,,,,,,,,,,,,11808.0,,0.0,3
2026-05-01,1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,"108,000",108-01-01,,,,,,,,,,,,,,700656.0,,0.0,4
2026-05-01,1,Oil & Gas,93,"362,529",393-01-01,383-01-01,,,,,,,,,,,,,596561.0,,0.0,5
2026-05-01,1,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,"43,367",,116-05-01,,,,,,,,,,,,,,,0.0,6
2026-05-01,1,Water Resources,32,"98,109",199-01-01,141-01-01,,,,,,,,,,,,,667418.0,,0.0,7
2026-05-01,1,701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,"21,030",,531-08-01,,,,,,,,,,,,,,,0.0,8
2026-05-01,1,Telecommunication,12,"151,125",253-01-01,,,,,,,,,,,,,,647695.0,,0.0,9
2026-05-01,1,706775,BHARATNET,"61,109",188-01-01,,,,,,,,,,,,,,671436.0,,0.0,10
2026-05-01,1,Healthcare,44,"22,607",,,,,,,,,,,,,,,,,0.0,11
2026-05-01,1,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,"32,850",,,,,,,,,,,,,,,,,0.0,12
2026-05-01,1,Coal,115,"185,702",183-01-01,,,,,,,,,,,,,,673262.0,,0.0,13
2026-05-01,1,619032,JAYANT EXPN. [20 TO 38 MTPA],"25,560",,,,,,,,,,,,,,,,,0.0,14
2026-05-01,1,618412,CONSTRUCTION OF I CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL ROAD LENGTH 18.475KM AND II 14.150 KM LONG 2-L BI-DIRECTIONAL SINGLE TUBE ZOJI-LA TUNNEL ACROSS ZOJILA PASS ON SONAMARG - KARGIL SECTION FROM KM 82 TO KM 118 OF NH-01 UNDER PMDP,"6,809",809-06-01,216-03-01,,,,,,,,,,,,,444469.0,,0.0,15
2026-05-01,1,400231,NLC TALABIRA THERMAL POWER PROJECT,"27,213",,456-03-01,,,,,,,,,,,,,,,0.0,16
2026-05-01,1,602182,DIBANG MULTIPURPOSE PROJECT,"31,876",,714-04-01,,,,,,,,,,,,,,,0.0,17
2026-05-01,1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,2,,,,,,,,,,,,,,,,,0.0,18
2026-05-01,1,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,,,,,,,,,,,,,,,,,0.0,19
2026-05-01,1,300 MW SPP part of 510 MW CPSU scheme (NLC India Limited [NLCIL]) 612819,Rajasthan,07/2022 (03/2023),,,1753-07-01,,,,,,,,,,,,,-99650.0,99650.0,20
2026-05-01,1,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1 (National Industrial Corridor Development Corporation) (707414),Uttar Pradesh,12/2020 (11/2026),,,,,,,,,,,,,,,,,0.0,21
2026-05-01,1,Guwahati Airport New Integrated Terminal Building Construction Project (Adani Airport Holdings Limited) (706724),Assam,12/2016 (03/2018),,,2639-01-01,1970-01-01 00:00:00.000000098,,,,,,,,,,,,223773.0,0.0,22
2026-05-01,1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport (Airport Authority of India [AAI]) (612786) (N04000106) (-)",Andhra Pradesh,03/2023 (01/2024),,,,1970-01-01 00:00:00.000000070,,,,,,,,,,,,,0.0,23
2025-05-01,10,POWER,108,"379,828.26 (403,113.29) {457,814.84}",,,,,,,,,,,,,,,,,0.0,1
2025-05-01,10,HARYANA,24,"60,500.88 (69,284.79) {69,434.48}",,,,,,,,,,,,,,,,,0.0,2
2026-05-01,10,Ministry of Labour and Employment,Healthcare,9,,1160-04-01,,,,,,,,,,,,,,,0.0,3
2026-05-01,10,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,,,,,,,,,,,,,,,,,0.0,4
2026-05-01,10,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02 (Hindustan Petroleum Corporation Limited) 709757","Multi-States (Bihar, Jharkhand)",06/2022 (06/2022),,,,,,,,,,,,,,,,,0.0,5
2026-05-01,10,"Establishment of new GMC Handwara [Distt. Kupwara] (Medical Education, Ministry of Health and Family Welfare) (707052)",Jammu and Kashmir,(),,,,,,,,,,,,,,,,,0.0,6
2026-05-01,10,Establishment of NIT Nagaland (NIT Nagaland) (613013),Nagaland,09/2009 (12/2014),,,,1970-01-01 00:00:00.000000098,,,,,,,,,,,,,0.0,7
2026-05-01,10,"Development of Dholera International Greenfield Airport , Gujarat (Airport Authority of India [AAI]) (701126) (N04000099) (3366)",Gujarat,06/2022 (07/2022),,,,1970-01-01 00:00:00.000000084,,,,,,,,,,,,,0.0,8
2026-05-01,100,Construction of 2 lane Barpeta Bypass from Km 77900Baradi to Km 86150 Deurikuchi Length8.25Km on NH-427 in the state of Assam under EPC ModeJob No.427/AS/2022-23/245 (MoRTH) (618034),Assam,03/2023 (02/2025),,,,1970-01-01 00:00:00.000000020,,,,,,,,,,,,,0.0,1
2026-05-01,100,N. EXTN. MUNGOLI NIRGUDA D OCP (Western Coalfields Limited [WCL]) (615919) (N06000283) (7363),Maharashtra,06/2024 (06/2024),,,,1970-01-01 00:00:00.000000027,,,,,,,,,,,,,0.0,2
2026-05-01,102,"Construction of 2 lane Major Bridge including approaches over Brahmaputra between Majuli on North Bank and Jorhat on South Bank from km. 11.690 to km. 19.715 length of bridge 6,812.5m Package - II on NH-715K in the state of Assam Job no. 715/AS/2020-21/213 (MoRTH) (618160)",Assam,03/2025 (12/2025),,,,1970-01-01 00:00:00.000000002,,,,,,,,,,,,,0.0,1
